RA,TURMA
11002112,NA1BHO1335-15SB
11002112,DB1BHP0202-19SB
11202130002,DA1BCM0506-15SB
11202130002,DA1BCJ0203-15SB
11202130002,DA1MCTC002-15SB
11202130002,NB1BCN0405-15SB
11202112038,DB5BIS0005-15SB
11202112038,NC1BIL0304-15SB
11202112038,NB1NHZ5023-18SA
11201921240,DC2BIJ0207-15SA
11201921240,DA1BCK0103-15SA
11201921240,DA1ESZI045-17SA
11201921240,DA1BCN0405-15SA
11201921240,DA1ESTO012-17SA
21077113,NA1BCJ0203-15SA
21077113,NA1MCZB015-13SA
21077113,NA1MCTB022-17SA
11202021033,NA3BCJ0203-15SA
11202130004,DA1BIR0004-15SA
11202130004,DA1BCM0506-15SA
11202130004,DA1BIN0406-15SA
11202130004,DA1BCL0307-15SA
11202111469,DA1BIJ0207-15SB
11202111469,DA1BIR0004-15SB
11202111469,DA1BHO0102-15SB
11202111469,DA1BHO1102-19SB
11202111469,DA1BIN0406-15SB
11201721638,NA1MCTB002-13SA
11201721638,NA1MCTB007-17SA
11201721638,NA2MCTA017-17SA
11201721638,NA1MCTB022-17SA
11049814,NA1ESZA018-17SA
11049814,NA1ESTA022-17SA
11202130357,DA3BCJ0205-15SA
11202130357,DA1BIN0406-15SB
11202130357,DA1MCZC008-13SB
11202130357,DC1BCL0307-15SA
11202022015,DA1ESHP022-14SB
11202022015,DA1ESHT010-17SB
11202022015,Da1ESHR025-14SB
11202022015,DA1ESHP018-14SB
11107815,DA1ESHP004-13SB
11107815,DA1ESHT023-17SB
11107815,DA1NHZ2099-16SB
11201811685,NB3BIJ0207-15SA
11201811685,DA2ESTO903-17SA
11201811685,DA1BCK0104-15SA
11201811685,NA2ESTO006-17SA
11201811685,DB1ESTO017-17SA
11201811685,DA3BCM0505-15SA
11202020486,NB2BCJ0205-15SA
11202020486,NB1BIN0406-15SA
11201721630,DA1ESTU023-17SA
11201721630,NA1NHZ5020-15SA
11201721630,DA1ESZG013-17SB
11201721630,DA1NHI5011-13SA
11201921313,DB1BCM0506-15SB
11201921313,DB1BIN0406-15SB
11201921313,DB1BCL0307-15SB
11102814,NA1ESTI007-17SA
11102814,NA1ESTI005-17SA
11102814,NB1ESTI003-17SA
21070012,NA1ESHT013-17SB
11042216,NB2BCN0407-15SA
11042216,NB1ESTO008-17SA
11042216,DB1BCS0002-15SA
11201723015,DA1NHZ6011-18SA
11201723015,DA1BCJ0203-15SA
11201723015,DA1NHT1056-15SA
11202131095,DA1BIR0004-15SB
11202131095,DA1BHO0102-15SB
11202131095,DA1BHQ0004-19SB
11202131095,DA1BIN0406-15SB
11201920527,DA1ESTI019-17SA
11201920527,DA3ESTO902-17SA
11201920527,DA1ESZI035-17SA
11201920527,DA1ESTO017-17SA
11201920527,NA1ESTI005-17SA
11201810602,NA1BHO0002-19SB
11201810602,Na2ESTS010-17SB
11201810602,NA1ESZT016-17SB
11201810602,Na1ESTS008-17SB
11084213,DA1ESZA013-17SA
11202020061,NA1BIR0603-15SB
11202020061,NA2ESTO016-17SB
11202020061,NA1ESTO005-17SB
11202020061,DA2BCS0002-15SA
11201723022,NA1ESTB007-17SB
11201723022,Na1ESTB030-17SB
11201723022,Na1ESTB022-17SB
11201723022,Da1ESZB031-17SB
11202022138,NA4BIS0003-15SA
11202022138,NB2BIR0603-15SA
