RA,TURMA
11202231486,NA2BIN0406-15SB
11002915,DA1MCTB010-13SA
11201811049,NA1MCTB019-17SA
11201811049,NA1MCTA016-13SA
11201811049,NA1MCZA019-17SA
21032816,NB1BCN0407-15SA
21032816,NB1BCK0104-15SA
21032816,NA1ESTM005-17SA
21032816,NA1ESTO015-17SA
11201920333,DAESTS005-17SB
11201920333,DC1ESTO902-17SB
11201920333,DAESTS006-17SB
11201920333,DAESTS009-17SB
11201920333,DAESZS033-17SB
11201920333,DAESTS018-17SB
11201920706,DB1ESTO902-17SA
11201920706,DA1ESTU028-17SA
11201920706,DA1ESTU031-17SA
11201920706,DA1ESTU034-17SA
11201920706,DA1ESTU036-17SA
11201920706,NA1ESTU035-17SA
11201920385,NB2NHI5002-15SA
11201920385,NA1BCK0104-15SA
11202231685,DA1BCL0306-15SB
11202231685,DA1ESHC028-17SB
11202231685,DA1BHQ0002-15SB
11202231685,DA1BHP0001-15SB
11202231685,DA1BHQ0301-15SB
11202111766,DA1ESHT009-17SB
11202111766,DA1ESZT009-17SB
11202111766,DAESHT017-17SB
11202111766,DA1ESHT018-17SB
11201810859,NBESHC035-21SB
11201810859,DB1ESHC037-21SB
21055316,NB1BCN0407-15SA
21055316,NAMCTD009-18SA
21055316,NA2MCTA018-13SA
11202020602,NA1ESZP041-14SB
11202020602,NA4BIS0003-15SB
11202020602,NB1ESTO013-17SB
11202020602,NA1NHT4030-15SA
11032014,NAESTA021-17SA
11032014,NAESTI006-17SA
11032014,NA1ESTO014-17SA
13201812294,NAESHC035-21SB
13201812294,NAESHC017-17SB
13201812294,NA1ESHC013-21SB
13201812294,NAESZC024-17SB
11054214,DAESTG025-17SB
11054214,NAESTG016-17SB
11202231084,DA1BIR0004-15SB
11202231084,DA3BIS0003-15SB
11202231084,DA1ESHR004-13SB
11202231084,DB1BHP0001-15SB
21065813,DAESHC035-21SB
21065813,DB1ESHC037-21SB
21065813,NB1ESTO013-17SB
21065813,DA1ESHC032-17SB
21065813,NA1ESHC026-21SB
11202130376,DA2BCN0407-15SA
11202130376,DA1BIN0406-15SA
11202130376,NA1MCTB019-17SA
11202131103,NB4BCN0407-15SA
11108712,DAESTA018-17SA
11108712,NB1ESTA007-17SA
11108712,NA1ESTI002-17SA
11108712,NB1ESTA017-17SA
11108712,NB1ESTA014-17SA
11202130003,NB2NHI5002-15SA
11202130003,NA1ESZM002-17SA
11201811707,NA1ESTA007-17SA
11201811707,NAESTA021-17SA
11201811707,NA1ESTO015-17SA
11201722567,NAESTG001-17SB
11201722567,NC1ESTO902-17SA
11201722567,NAESTG016-17SB
11042015,NAESTA011-17SA
11042015,NA2ESTA004-17SA
11042015,DAESTA006-17SA
11042015,NAESTA020-17SA
11201722444,NB1BIR0603-15SB
11201722444,NA5BCM0505-22SA
11201722444,NB1BCS0002-15SA
11079216,NAESZI016-17SA
11079216,NAESZA019-17SA
11201920781,NA2BCN0407-15SA
11201920781,NA1ESZM002-17SA
11201920781,NA1ESTO012-17SA
11201920781,NA2BCS0002-15SA
11201920781,NAESTI020-17SA
11117713,DAESTG004-17SB
11201811563,NA1ESTA004-17SA
11201811563,NA1ESZA011-17SA
11201811563,DAESTA006-17SA
11201811563,NAESTA021-17SA
11201811563,DA1ESTO015-17SA
11201811563,NA2ESTA003-17SA
11201920520,DAESTE036-17SA
11201920520,DA1ESHT009-17SB
11201920520,DA1ESTO008-17SB
11201920520,DA1ESTU031-17SA
11201920520,DA1ESZU030-17SA
11202111472,NA1ESHR031-21SB
11202111472,DA1ESHC013-21SB
11202111472,NA1ESHR015-21SB
11202111472,NA1BHQ0301-15SB
11202021235,NA1ESTO011-17SA
11202021235,NB1ESTO005-17SA
11202021235,NA1ESTM005-17SA
11202021235,NB1ESTO008-17SA
11201811442,NB7BCJ0205-15SA
11201811442,NB4BCN0407-15SA
11201811442,NA1ESTU031-17SA
11201811442,NA1ESTA014-17SA
11201811442,NA1ESTU034-17SA
11201810209,NA6BCJ0205-15SA
11201810209,NA3BCN0407-15SA
11201810209,NB1ESTO011-17SA
11201810209,NA1ESZU028-17SA
11201810244,DA1MCTB009-17SA
11201810244,NA1BCK0104-15SA
11201810244,DA1ESTO008-17SA
11076313,NA1MCZC011-15SB
11201810449,NB1BHQ0002-15SB
11201810449,NB1BHP0001-15SB
11201810449,DA1ESTO011-17SA
11201810449,DA1ESTU039-17SA
11201810449,NA1ESTU036-17SA
11201810449,NA1ESTU035-17SA
11201922401,DA1BCN0404-15SA
11202112041,NB1BCL0306-15SB
11202112041,NB1BHQ0002-15SB
11202112041,NA1BHP0001-15SB
11202231900,NA1ESTO014-17SB
11202232237,NABCL0306-15SA
11202232237,NAMCTD009-18SA
11202232237,NA1NHT3037-13SA
11201810758,DA1BIS0003-15SA
11201810758,DA1BIK0102-15SA
11201810758,DA1NHZ4081-20SB
11201721620,NA1ESTU040-17SA
11201721620,NA1ESZU030-17SA
11201721620,NA1ESTU034-17SA
11201721620,NA1ESTU036-17SA
11201721620,NA1ESTU035-17SA
11201920143,NB1BCJ0204-15SA
11201920143,NA2ESTO011-17SA
11201920143,NA1BCN0404-15SA
11201723029,NA1MCTB019-17SA
11201920427,DA1NHT4005-15SA
11201920427,NAESZE094-17SA
11201920427,DB1ESTO011-17SA
11202231006,NB3BCJ0205-15SA
11202231006,NB1ESTO011-17SA
11202231006,NA1ESTO005-17SA
11202130412,DA1ESTO011-17SA
11202130412,DA1BCK0104-15SA
11202130412,DA2ESTO017-17SA
11202130412,DB1BCS0002-15SA
11201721174,NA1ESHC003-17SB
11201721174,NA1ESHC037-21SB
11201721174,NA1ESHC038-17SB
11201721174,NA1ESHP019-13SB
11201811418,NA1NHI5002-15SB
11201811418,NB1BCK0104-15SB
11201811418,NA1NHZ4081-20SB
11201811418,NA1NHZ5023-18SB
11110615,NAESZE086-17SA
11110615,NAESZU002-17SA
11110615,NAESTE034-17SA
11110615,NAESTE030-17SA
11110615,NA1NHZ4080-20SA
11202130820,NB8BCJ0205-15SA
11202130820,NB3BCN0407-15SA
11201921322,DANHT3089-15SA
11202130513,NA1BIR0004-15SB
11202130513,NB2BIS0003-15SB
11202130513,NA6BCM0505-22SA
11201722814,NB1NHI5002-15SA
11201722814,NA1NHT5004-15SA
11201722814,NA2ESTO011-17SA
11201722814,NA1ESZM002-17SA
11201722814,NB1NHZ2099-16SA
11106316,NA1ESTU028-17SA
11106316,NA1ESZU013-17SA
11106316,NA1LIE0001-19SA
11106316,NA1ESTU040-17SA
11106316,NA1ESTU034-17SA
11106316,NB1ESTU036-17SA
11070616,DB2BCK0104-15SA
11201810492,DA1ESHR004-13SB
11201810492,NA1ESHT020-17SB
11201810492,NA1ESHP019-13SB
11202212417,DA2BCN0407-15SA
11202212417,DA1BIN0406-15SA
11202212417,DA1BCM0505-22SA
11201722869,NA1MCTA007-17SA
11201722869,NA2MCTA016-13SA
11201920139,NC1ESTO902-17SA
11201920139,NB1BHQ0002-15SA
11201920139,NA2ESTO005-17SA
11201920139,NA1NHT3037-13SA
11201920139,NA1ESTO012-17SA
11201920628,NA1ESZU022-17SA
11201920628,NB1BCK0104-15SA
