RA,TURMA
11002112,NA1MCTC025-20SB
11002112,NA1ESZC034-21SB
11202130002,DA1BIR0004-15SB
11202130002,DA2BCL0308-15SB
11202130002,DA1BIQ0602-15SB
11202130002,NB1BCK0103-15SB
11202130002,DA1MCTC011-15SB
11202112038,NA1BIS0003-15SA
11202112038,DB1BCL0306-15SA
11202112038,NA1BIK0102-15SA
11202112038,NA1NHI5011-13SA
11202112038,DA1NHT5012-15SA
11201921240,NA1MCTA001-17SA
11201921240,DA1BIR0603-15SA
11201921240,DA1MCTA033-15SA
11201921240,DB1BIQ0602-15SA
11201921240,DA1MCTA026-13SA
21077113,NAMCTB004-17SA
21077113,NA1MCTB005-13SA
21077113,NAMCTD020-18SA
21077113,NA1MCTB021-17SA
11202130004,DB1BCL0308-15SA
11202130004,DA1BIQ0602-15SA
11202130004,DA1BCJ0203-15SA
11202130004,DA1NHZ5016-15SA
11202130004,DA1ESTU015-17SA
11202130004,DA1ESTU021-17SA
11202111469,DA1ESHR022-14SB
11202111469,DA1ESHR003-13SB
11202111469,DA1ESHR011-13SB
11202111469,DA1ESHR019-13SB
11202231396,NA1BIJ0207-15SB
11202231396,NA2BIS0003-15SB
11202231396,NB1BIR0603-15SB
11202231396,NA2BCJ0204-15SB
11201721638,NAMCTB008-17SA
11201721638,NA1MCTB010-13SB
11049814,NA1ESTA022-17SA
11202130357,DB1BIR0004-15SB
11202130357,DA1BCM0506-15SA
11202130357,DB1BIQ0602-15SB
11202130357,DA1MCTC002-15SB
11202230325,NB2BCL0306-15SA
11202230325,NB3BCN0402-15SA
11202230325,NB3BCN0404-15SA
11202230325,NB1BCM0504-15SA
11202022015,DA1ESZP042-14SB
11202022015,DA3ESHP025-14SB
11202022015,DA1ESZR019-14SB
11202022015,DA1ESHR019-13SB
11107815,DA1ESHR001-13SB
11107815,DA1ESZP035-14SB
11107815,DA1ESHR003-13SB
11201811685,DA2ESTO001-17SA
11201811685,DA5BCJ0204-15SA
11201811685,DAESTA023-17SA
11201811685,DAESTA019-17SA
11201921313,DB1BIR0004-15SB
11201921313,DA1NHT1002-15SB
11201921313,DA1BIQ0602-15SB
11201921313,DA1BCN0402-15SB
11102814,NAESTI007-17SA
11102814,NAESTI017-17SA
11102814,NA1ESTI004-17SA
11042216,DANHZ1078-15SA
11042216,DB1BCS0002-15SA
11201723015,DA1NHZ6004-18SA
11201723015,DA1BCJ0203-15SA
11201723015,DB2BCN0404-15SA
11202021407,DB1BIR0004-15SA
11202021407,DA1BCJ0204-15SA
11202021407,DA3BCN0402-15SA
11202021407,DA3BCM0504-15SA
11202131095,DA1BIS0003-15SB
11202131095,DA1BHP0001-15SB
11202131095,DA1BHQ0301-15SB
11201920527,NAESTI007-17SA
11201920527,NAESTI010-17SA
11201920527,NA2ESTO903-17SA
11201920527,NA1ESTA003-17SA
21057913,NAESZE057-17SA
11202230271,DB2BCL0306-15SA
11202230271,DB8BCJ0204-15SA
11202230271,DB3BCN0402-15SA
11202230271,DB1BCN0404-15SA
11202230271,DB3BCM0504-15SA
11202212398,NB1BCL0306-15SA
11202212398,NB1BCJ0204-15SA
11202212398,NB2BCN0402-15SA
11202212398,NB1BCN0404-15SA
11202212398,NB3BCM0504-15SA
11201810602,DA1ESZG013-17SB
11201810602,NA1ESHC025-17SB
11201810602,NAESZG005-17SB
11202020061,NA1MCTB009-17SB
11202020061,NA2ESTO001-17SB
11202020061,NA1ESTO011-17SB
11202020061,NA1MCTC002-15SB
11202020061,NA1MCTC011-15SB
11201723022,NA1ESTB027-17SB
11201723022,NA1ESZB022-17SB
11201723022,DA1ESTB031-18SB
11201723022,NA1ESZB010-17SB
11202022138,NA1NHT1086-16SA
11202230408,NA1BHO0101-15SB
11202230408,NA1BHO0002-19SB
11202230408,NA1BHP0202-15SB
11201811299,NA1ESTG006-17SB
11201811299,DAESTG013-17SB
11201811299,DA1ESTG021-17SB
11012606,NA2ESTI004-17SA
11012606,NA1ESZE113-17SA
11012606,NAESZE077-17SA
11201920641,DAMCZA008-17SA
11201920641,NA1NHZ4062-15SA
11201920641,DA1MCZA017-13SA
11201920641,DA1MCTA023-17SA
11201920856,DA1MCTB001-17SB
11201920856,NA2BCJ0203-15SB
11202020902,DA1BIS0003-15SA
11202020902,DA1BCN0404-15SB
11202020902,DA2BCM0504-15SB
11202020902,DA1MCTC011-15SB
21086413,NA1ESHC033-21SB
21086413,NA1ESHC016-17SB
21086413,NA1NHI5015-15SB
21086413,NANHZ2071-18SB
11202111864,NA1BCS0001-15SB
11202111864,NB1BIS0003-15SB
11202111864,NA1BIQ0602-15SB
11202111864,NA3BCN0402-15SB
11202111864,NAESTS003-17SB
11024613,NA1MCTB010-13SB
11024613,NA2ESTA002-17SA
11024613,NAESTE032-17SA
11024613,NAESTE025-17SA
11202020978,DA1BIR0603-15SA
11202020978,DA2ESTO001-17SA
11202020978,DA1ESTO011-17SB
11202020978,DAMCTD010-18SA
11202020978,DA1ESTO008-17SA
11202020978,DA1ESZU020-17SA
11030509,DA1ESTB027-17SB
21025414,DA1ESTU005-17SA
21025414,NA1BHQ0002-15SB
21025414,NA1BHP0001-15SB
11201922014,NA1ESTA013-17SA
11202131100,NB1BIS0003-15SB
11202131100,NA1BIR0603-15SB
11202131100,NA1MCTC011-15SB
11111209,NANHZ6016-18SA
11111209,NANHT1055-15SA
11111209,NA1NHZ1081-13SA
11201722436,NA1MCTB001-17SB
11201722436,NA1MCTB009-17SB
11201722436,NB1BCS0002-15SB
11202210015,DA1NHZ5017-15SA
11202210015,DB1NHI5015-15SA
11202210015,NAMCZD004-18SA
11202210015,DA1NHT5012-15SA
11202210015,NA1NHT3091-15SA
11202210015,DA1NHZ4042-09SA
11045315,NA1ESTB027-17SB
11045315,NA1ESZB002-17SB
11045315,NA1MCTC011-15SB
11202230859,NB2BIR0603-15SB
11202230859,NB1BHO0101-15SB
11202230859,NB1BHO1335-15SB
11202230859,NB1BHO0002-19SB
11202230859,NB1BHP0202-15SB
11035614,NAESTA011-17SA
11035614,NAESZA013-17SA
11035614,NA1ESTU015-17SA
11035614,NA1ESTA003-17SA
11035614,NA1ESZA015-17SA
11202230357,DB1BCL0306-15SB
11202230357,DB1BCJ0204-15SB
11202230357,DB1BCN0402-15SB
11202230357,DB1BCN0404-15SB
11202230357,DB1BCM0504-15SB
11201812123,NA2ESTO001-17SA
11201812123,NAESTG008-17SB
11201812123,NB1ESTG010-17SB
11201812123,NA1NHZ4062-15SA
11201812123,NA1ESTU015-17SA
11201722779,DAESTG013-17SB
11201722779,DAESTG016-17SB
11201920575,NB2BCL0308-15SA
11201920575,DA9BCJ0204-15SA
13201910061,NA1ESZR006-13SB
13201910061,NANHH2085-16SB
13201910061,NA2ESHP016-13SB
11201922339,DA1ESHP005-13SB
11201922339,NA1BHO0002-19SB
11201922339,DA1ESHP024-14SB
11201922339,DA1ESHR019-13SB
11201922339,DA1BHQ0301-15SB
11201920378,NA1BCM0506-15SB
11201920378,NA1ESTG007-17SB
11201920378,DA1BCJ0203-15SA
11201920378,NA1ESTO005-17SA
11201920378,NA1ESTO008-17SA
11201810101,DA1NHT1002-15SB
11201810101,DB1MCTB009-17SA
11201810101,DB3BCN0402-15SA
11201810101,DANHI2049-13SB
11202231486,NA2BCL0306-15SB
11202231486,NA2BCJ0204-15SB
11202231486,NA1BCN0402-15SB
11202231486,NA1BCN0404-15SB
11202231486,NA2BCM0504-15SB
11002915,NA1MCTB010-13SA
11002915,NA1ESTO012-17SA
11201811049,NA1MCTB001-17SA
11201811049,NA1MCZA018-17SA
21032816,NA1MCTB010-13SA
21032816,NA1BCN0402-15SA
21032816,NA1ESTO014-17SA
11012316,NAMCTD010-18SA
11012316,DA1MCZA052-22SA
11201920333,DAESTS016-17SB
11201920333,DA2BCL0308-15SB
11201920333,DAESZS034-17SB
11201920333,DAESZA007-17SB
11201920333,DAESTS017-17SB
11201920333,DAESTS008-17SB
11201920706,DA1ESTU027-17SA
11201920706,DA1ESTU010-17SA
11201920706,DA1ESTU015-17SA
11201920706,NA1ESZU017-17SA
11201920706,DA1ESTU019-17SA
11201920385,NA1ESZU010-17SA
11201920385,NA2ESTO004-17SA
11201920385,NA1NHZ4062-15SA
11201920385,DB1ESZG020-17SA
11201920385,NA1ESZU016-17SA
11202231685,DA1BIS0003-15SA
11202231685,DA2BIR0603-15SB
11202231685,DA1BHO0101-15SB
11202231685,DA1BHO1335-15SB
11202231685,DA1BHO0002-19SB
11202231685,DA1BHP0202-15SB
11096513,NA1MCTB001-17SA
11202111766,DC1BIS0003-15SB
11202111766,DA1ESHR003-13SB
11202111766,DA1ESHR019-13SB
11202111766,NA1ESZT014-17SB
11201810859,NA2ESHC036-21SB
11201810859,DA1ESHC037-21SB
11201810859,NA1ESZC034-21SB
21055316,NB1BCJ0203-15SA
21055316,NANHZ3043-15SA
21055316,NB1BCS0002-15SA
11202020602,NB1BCS0001-15SA
11202020602,NA9BCJ0204-15SA
11202020602,NA2ESTO011-17SA
11202020602,NB1ESTO012-17SA
11202020602,NA1ESTI004-17SA
11201922310,NA1ESHC019-17SB
11201922310,NA1ESHR011-13SB
11032014,NB1MCTB010-13SA
11032014,NA1ESTA013-17SA
11032014,NA1ESTO006-17SA
13201812294,NA1ESHC016-17SB
13201812294,NA1ESHC017-17SB
13201812294,NA1ESHC024-19SB
13201812294,NA1ESHC029-21SB
11054214,NAESTG017-17SB
11054214,DA1ESZG020-17SA
11054214,DAESTG013-17SB
11054214,DB1ESTG021-17SB
11202231084,DB2BIR0603-15SB
11202231084,DB1BHO0101-15SB
11202231084,DB1BHO1335-15SB
11202231084,DB1BHO0002-19SB
11202231084,DB1BHP0202-15SB
21065813,DA1ESHC002-17SB
21065813,NA1ESHT003-17SB
21065813,NA1ESHC036-21SB
21065813,DA1ESHC037-21SB
21065813,NA1ESTO013-17SB
11202130376,DA1BIS0005-15SA
11202130376,DA1BIJ0207-15SA
11202130376,DA1BIS0003-15SA
11202130376,DB1BIR0603-15SA
11202130376,DA1BIK0102-15SA
11202131103,NA1BIJ0207-15SA
11202131103,NB1BIS0003-15SA
11202131103,NA1BIK0102-15SA
11108712,NA1MCTA006-17SA
11108712,NA1MCZA023-17SA
11108712,NA1MCTA022-17SA
11108712,NA1MCTA023-17SA
11202130003,NA1NHI5015-15SA
11202130003,NA1NHT5012-15SA
11201811707,NA1ESTA005-17SA
11201811707,NAESTA011-17SA
11201811707,NB2ESTO903-17SA
11201811707,DA1ESTE019-17SA
11201811707,NAESZA023-17SA
11201921586,NA1BHQ0002-15SB
11201921586,NA1BHO1335-15SB
11201921586,NA1BHP0202-15SB
11201722567,NAESTG009-17SB
11201722567,NA1NHZ4062-15SA
11201722567,NB1ESTO012-17SA
11201722567,NA1BCS0002-15SA
11042015,NAESTA011-17SA
11042015,NA1ESTA004-17SA
11042015,NA1ESTU005-17SA
11042015,NC1ESTA001-17SA
11042015,DAESTA013-17SA
11201722444,NB1BIR0004-15SA
11201722444,NB2BCL0306-15SA
11201722444,NA1BCM0506-15SA
11201722444,NA1BCM0504-15SA
11079216,NA1MCTA006-17SA
11079216,NAESTA017-17SA
11079216,NA1ESTA022-17SA
11201920781,NB1MCTB009-17SA
11201920781,NB1BIR0603-15SA
11117713,NAESTG017-17SB
11201811563,NAESTA006-17SA
11201811563,NA2ESTE020-17SA
11201811563,DA1ESTI013-17SA
11201811563,NA1ESTA022-17SA
11201811563,NA1ESTO014-17SA
11201811129,NA1MCTB009-17SA
11201811129,NB3BCK0103-15SA
11201920520,DA3BCL0308-15SA
11201920520,DA1ESTO016-17SA
11201920520,DA2BCJ0203-15SA
11201920520,DAMCTD010-18SA
11201920520,DA1ESTO012-17SA
11202111472,NA1ESHR022-14SB
11202111472,NA1ESZR002-13SB
11202111472,NA1LHE0001-19SB
11202111472,NA1ESHR014-13SB
11202021235,NA1ESTO013-17SA
11202021235,NA1ESTM008-17SA
11202021235,NA1ESTM019-17SA
11201811442,NAESTE036-17SA
11201811442,NAESTE004-17SA
11201811442,NB3BCM0504-15SA
11201810209,NA1NHT1086-16SA
11201810209,NA1ESTU040-17SA
11201810209,NAESZE077-17SA
11201810209,NA1ESTA010-17SA
11201810449,NANHH2009-13SB
11201810449,NA1ESZU010-17SA
11201810449,DAESZG011-17SB
11201810449,DA1ESTO012-17SA
11201810449,DA1ESTB015-17SB
11201810449,NA1ESZU016-17SA
11202212416,DB1BIS0003-15SA
11202212416,DA1ESTA014-17SA
11201922401,DA2BCL0308-15SB
11202112041,NA1BIR0004-15SB
11202112041,NA1BHP0001-15SB
11202112041,NA1ESHT008-17SB
11202112041,NA1BHQ0301-15SB
11202231900,NB1BIS0003-15SB
11202232237,NB1BIS0005-15SA
11202232237,NA9BCJ0204-15SA
11202232237,NB3BCN0402-15SA
11202232237,NB1BCN0404-15SA
11201721620,DA1ESTU024-17SA
11201721620,NB1ESTO903-17SA
11201721620,NA1ESTU007-17SA
11201721620,NB1ESTO017-17SA
11201721620,NA1ESTU021-17SA
11201920143,NA1BIJ0207-15SA
11201920143,NA1BCM0506-15SA
11201920143,NA3BCN0404-15SA
11201723029,NAMCTD016-18SA
11201723029,NAMCTD019-18SA
11201920427,DA1ESZU002-17SA
11201920427,NA1NHT4025-15SA
11201920427,DA1NHT4033-15SA
11201920427,DA1NHT4050-15SA
11201920427,NA1NHT4052-15SA
11202231006,NB3BCL0306-15SA
11202231006,NB6BCJ0204-15SA
11202231006,NB3BCN0402-15SA
11202231006,NB2BCN0404-15SA
11202231006,NB1BCM0504-15SA
11202231498,NA3BCL0306-15SA
11202231498,NA2BCM0506-15SA
11202231498,NA3BCN0404-15SA
11202231498,NA1BCM0504-15SA
11202130412,DB1BIR0004-15SA
11202130412,DB4BCL0308-15SA
11202130412,DB1BCK0103-15SA
11201721174,NA1ESHC037-21SB
11201721174,NA1ESHR003-13SB
11201721174,DA1ESHP014-13SB
11201812163,NB1BCL0308-15SB
11201812163,NB2BCJ0204-15SB
11201811418,NA1BHQ0002-15SB
11201811418,NA1NHZ5016-15SB
11201811418,NA1NHI5015-15SB
11110615,NA1ESZM035-17SA
11110615,NA1MCTB010-13SB
11110615,NA1NHT4025-15SA
11110615,NAESZE100-17SA
11202130820,NA1BIR0004-15SA
11202130820,NA1BCL0308-15SA
11202130820,NA3BCK0103-15SA
11201921322,NANHT3089-15SA
11202130513,NA4BCS0001-15SA
11202130513,NA1BIR0603-15SA
11202130513,NA9BCJ0204-15SA
11202130513,NB3BCN0402-15SA
11202130513,NB1ESTO012-17SA
11201722814,NANHT1073-15SA
11201722814,NA2ESTO903-17SA
11201722814,NANHT1067-15SA
11201722814,NA1ESTU033-17SA
11106316,DA1ESTU024-17SA
11106316,NA1NHZ4062-15SA
11106316,NA1ESTU021-17SA
11106316,NA1ESZU020-17SA
11070616,DA1MCZA017-13SA
